Apple Inc.
RU 2,273,113
RU 2,282,947
RU 2,282,948
RU 2,287,908
RU 2,297,109
RU 2,319,317
RU 2,319,318
RU 2,326,506
RU 2,328,090
RU 2,333,616
RU 2,335,861
RU 2,338,332
SE 1,359,769
SE 1,406,453
SE 1,601,209
SE 1,603,344
SE 1,679,904
SE 1,796,396
SE 1,809,048
SE 1,821,547
SE 1,876,831
SE 1,876,832
SE 1,876,833
SE 1,876,834
SE 1,876,835
SE 1,876,836
SE 1,876,837
SE 1,876,838
SE 2,003,899
SE 2,003,900
SE 2,009,927February 1, 2014 AVC Attachment 1 Page 20 of 75
SE 2,009,928
SE 2,015,585
SG 113,888
SG 167,659
SI 1,406,453
SI 1,603,344
SI 1,796,396
SI 1,809,048
SI 1,821,547
SI 2,003,899
SI 2,003,900
SI 2,009,927
SI 2,009,928
SI 2,015,585
SK 1,406,453
SK 1,603,344
SK 1,796,396
SK 1,809,048
SK 1,821,547
SK 2,003,899
SK 2,003,900
SK 2,009,927
SK 2,009,928
SK 2,015,585
TR 1,406,453
TR 1,603,344
TR 1,796,396
TR 1,809,048
TR 1,821,547
TR 2,003,899
TR 2,003,900
TR 2,009,927
TR 2,009,928
TR 2,015,585
TW 221,076
TW 229,825
TW I 259,412
TW I 280,806
US 6,912,351
US 7,233,621
US 7,262,886
US 7,277,593
US 7,289,682
US 7,359,569
US 7,391,921
US 7,391,922
US 7,394,945
US 7,397,965
US 7,403,663
US 7,403,667
US 7,424,159February 1, 2014 AVC Attachment 1 Page 21 of 75
US 7,433,525
US 7,437,015
US 7,440,627
US 7,447,367
US 7,463,776
US 7,463,786
US 7,486,832
US 7,492,959
US 7,492,960
US 7,492,961
US 7,496,239
US 7,499,598
US 7,558,321
US 7,570,691
US 7,577,303
US 7,577,304
US 7,580,583
US 7,587,090
US 7,599,571
US 7,606,307
US 7,613,241
US 7,616,831
US 7,616,832
US 7,616,833
US 7,620,110
US 7,620,262
US 7,627,035
US 7,634,007
US 7,634,010
US 7,643,556
US 7,643,557
US 7,680,347
US 7,706,451
US 7,711,053
US 7,711,054
US 7,835,442
US 7,835,443
US 7,835,444
US 7,835,445
US 7,835,446
US 7,835,447
US 7,835,448
US 7,835,449
US 7,835,450
US 7,835,451
US 7,839,934
US 7,839,935
US 7,843,999
US 7,899,116
US 7,916,786
US 7,916,787February 1, 2014 AVC Attachment 1 Page 22 of 75
US 7,920,625
US 8,130,842
US 8,149,919
US 8,229,005
US 8,238,417
US 8,238,422
US 8,243,786
US 8,243,795
US 8,243,799
US 8,243,800
US 8,243,830
US 8,249,172
US 8,249,174
US 8,345,757
US 8,345,758
US 8,351,503
US 8,351,504
US 8,351,505
US 8,351,506
US 8,351,507
US 8,385,417
US 8,396,128
US 8,411,748
US 8,416,853
US 8,416,854
US 8,422,556
US 8,428,134
US 8,432,969
US 8,463,058
US 8,467,620
US 8,467,621
US 8,467,622
US 8,472,738
US 8,509,550
US 8,548,264
US 8,565,305
US 8,565,306
US 8,565,544
US 8,582,651
US 8,630,348
US 8,630,349
US 8,634,666
US 8,638,468
US 8,639,048
US Re. 40,1775
US Re. 40,178
US Re. 40,179
US Re. 40,180
US Re. 41,089
US Re. 41,385
US Re. 41,386February 1, 2014 AVC Attachment 1 Page 23 of 75
US Re. 41,387
US Re. 41,400
US Re. 41,403
US Re. 41,405
US Re. 41,406
US Re. 41,419
US Re. 41,420
US Re. 41,421
US Re. 41,422
US Re. 41,423
US Re. 41,436
US Re. 41,446
US Re. 41,459
US Re. 41,907
US Re. 42,045
US Re. 42,677
US Re. 42,716
US Re. 42,747
US Re. 43,709
VN 6,782
VN 6,783
Microsoft Corporation
AT 1,135,934
AT 1,753,244
AT 1,853,069
AU 2003204477
BE 1,135,934
BE 1,753,244
BE 1,853,069
CH 1,135,934
CH 1,753,244
CH 1,853,069
CN 02143205.8
CN 02825191.1
CN 03124169.7
CN 03141275.0
CN 03811662.6
CN 100394447
CN 100459712
CN 100461858
CN 100463522
CN 200610079930.6
CN 200610141384.4
DE 60310368.5
